title,price,link
Argentina Billete 10 Pesos 1970 P-289/BOT-2334 AU (Serie A),"$6,00",https://www.argcollectibles.com/producto/argentina-billete-10-pesos-1970-p-289-bot-2334-au-serie-a/
Argentina Billete 5 Pesos 1975 P-294/BOT-2331a AU (Serie B),"$1,00",https://www.argcollectibles.com/producto/argentina-billete-5-pesos-1975-p-294-bot-2331a-au-serie-b/
Argentina Billete 5 Pesos 1973 P-288/BOT-2323 AU (Serie A),"$4,00",https://www.argcollectibles.com/producto/argentina-billete-5-pesos-1973-p-288-bot-2323-au-serie-a/
Guinea Bissau Billete 1.000 Pesos 1990 P-13a UNC,"$5,00",https://www.argcollectibles.com/producto/guinea-bissau-billete-1-000-pesos-1990-p-13a-unc/
Portugal Billete 50 Escudos 1964 P-1968 XF,"$10,00",https://www.argcollectibles.com/producto/portugal-billete-50-escudos-1964-p-1968-xf/
Mexico Billete 10 Pesos 1994 P-105a VF+ (Serie N),"$12,00",https://www.argcollectibles.com/producto/mexico-billete-10-pesos-1994-p-105a-vf-serie-n/
Nepal Billete 5 Rupias 1985 P-23a(3) UNC,"$8,00",https://www.argcollectibles.com/producto/nepal-billete-5-rupias-1985-p-23a3-unc/
Guatemala Billete 10 Quetzales 1992 P-75c F+,"$3,00",https://www.argcollectibles.com/producto/guatemala-billete-10-quetzales-1992-p-75c-f/
Trinidad y Tobago Billete 5 Dolares 1985 P-37d XF+,"$10,00",https://www.argcollectibles.com/producto/trinidad-y-tobago-billete-5-dolares-1985-p-37d-xf/
Peru Billete 50 Soles 1963 P-85 F+ (Manchado),"$8,00",https://www.argcollectibles.com/producto/peru-billete-50-soles-1963-p-85-f-manchado/
Peru Billete 5 Soles 1960 P-76 UNC,"$6,00",https://www.argcollectibles.com/producto/peru-billete-5-soles-1960-p-76-unc/
Peru Billete 10 Soles 1962 P-84 VF+,"$4,00",https://www.argcollectibles.com/producto/peru-billete-10-soles-1962-p-84-vf/
Peru Billete 100 Soles 1976 P-114 AU (Machu Pichu),"$6,00",https://www.argcollectibles.com/producto/peru-billete-100-soles-1976-p-114-au-machu-pichu/
Malawi Billete 500 Kwacha 2021 P-66 UNC,"$1,50",https://www.argcollectibles.com/producto/malawi-billete-500-kwacha-2021-p-66-unc/
Albania Billete 1 Leke 1976 P-40 UNC,"$2,00",https://www.argcollectibles.com/producto/albania-billete-1-leke-1976-p-40-unc/
