id,Country,Status,War,DenomValue,DenomUnit,Year,Century,Condition,ExtraTags,Price
MAL_2021_3d0f2b2282528afe38ee0ff3952a65f3,Malawi,Existent,False,500.0,Kwacha,2021,XXI,UNC,,1.5
ALB_1976_0b6e98164150de0c841d81da7cab1a0c,Albania,Existent,False,1.0,Leke,1976,XX,UNC,,2.0
EL _1972_c116e31c646d07c66fa7d8bf1a3fe864,El Salvador,Existent,False,2.0,Colon,1972,XX,F,,25.0
EL _1966_64b4a69d3b025c8881e2d266855e2c1c,El Salvador,Existent,False,10.0,Colon,1966,XX,F,,25.0
EL _1966_b748f87e7bb0e97d242b2a7448f84be1,El Salvador,Existent,False,10.0,Colon,1966,XX,F,,30.0
EL _1980_a294305d6bf3257825bee48c2136e31d,El Salvador,Existent,False,5.0,Colon,1980,XX,UNC,,20.0
EL _1980_e14a8499762871e46cb9af68675e157d,El Salvador,Existent,False,5.0,Colon,1980,XX,UNC,,20.0
MAC_2012_6fcc74b37baee99a940f0e26f3dd30ff,Macao,Existent,False,24.0,Billete,2012,XXI,UNC,,100.0
GAM_2019_b81fea85d2ad646ac64eb501f65691d6,Gambia,Existent,False,6.0,Billete,2019,XXI,UNC,,30.0
ALE_1921_629120d0f848472c49adc42fb1e03b34,Alemania,Existent,False,4.0,Billete,1921,XX,UNC,,12.0
IND_2021_b7ed25f636c3ebbb031e724e952e9399,Indochina,Existent,False,4.0,Billete,2021,XXI,UNC,Fantasia; Polimero,20.0
ALE_1921_e22925fe29b1891763d4afd1cd2cde16,Alemania,Existent,False,6.0,Billete,1921,XX,UNC,,18.0
EL _1977_23d635bd1f2b89aecaecf51d0411ac64,El Salvador,Existent,False,5.0,Colon,1977,XX,AU,,30.0
EL _1982_44e553f87e9f017e2c1b033e73eab7d1,El Salvador,Existent,False,1.0,Colon,1982,XX,VF,,6.0
ARG_2008_2f97874f796305eaf12b2c32a640376e,Argentina,Existent,False,100.0,Peso,2008,XXI,XF,,10.0
EL _1982_b99d3f3baa6ff6b0e2c62a610b3ae63e,El Salvador,Existent,False,1.0,Colon,1982,XX,VF,,6.0
EL _1982_48a578924edb0ba2dc48c63cbf3425b0,El Salvador,Existent,False,1.0,Colon,1982,XX,AU,,8.0
EL _1980_b3d92047599fbc682cd9e4e272f3b564,El Salvador,Existent,False,1.0,Colon,1980,XX,UNC,,15.0
EL _1980_86a178dddcc614fa5f0e0f63f0c052ee,El Salvador,Existent,False,1.0,Colon,1980,XX,AU,,8.0
EL _1980_bb6a4a3cdfa28df3888baa432aa25c71,El Salvador,Existent,False,1.0,Colon,1980,XX,XF,,8.0
EL _1980_428bff3a1f7e71afca078b01822d8f03,El Salvador,Existent,False,1.0,Colon,1980,XX,UNC,,15.0
EL _1980_007b373184da9ed9ee6239e5f3feea21,El Salvador,Existent,False,1.0,Colon,1980,XX,XF,,8.0
EL _1979_9739b9f8ac5bd3a203fde2026ff7579f,El Salvador,Existent,False,1.0,Colon,1979,XX,UNC,,15.0
EL _1979_515f1d9727d611c924f4017feb30e4b9,El Salvador,Existent,False,1.0,Colon,1979,XX,UNC,,15.0
EL _1979_9b6f81f69f9cf9eb0edd68249f036e17,El Salvador,Existent,False,1.0,Colon,1979,XX,UNC,,15.0
EL _1979_50fe0fdcd13c62ba4ceb786e09f8cc1d,El Salvador,Existent,False,1.0,Colon,1979,XX,XF,,8.0
MAL_2024_84668e4fe16c937c71f2d9c81480001b,Malawi,Existent,False,2000.0,Kwacha,2024,XXI,UNC,,5.0
SRI_2005_b699c9e7d3783fd04ac3f9931931c0a0,Sri Lanka,Existent,False,100.0,Rupia,2005,XXI,UNC,,4.0
SRI_2006_8302178d4d98f79a6bf26add0db909bd,Sri Lanka,Existent,False,20.0,Rupia,2006,XXI,UNC,,3.0
NEP_1972_5326528ac1d4e91bec5d8b3e4aa0ab7c,Nepal,Existent,False,1.0,Rupia,1972,XX,UNC,,12.0
CHI_1943_df8fc09f2873adf3b0d6954b1a537371,Chile,Existent,False,1.0,Peso,1943,XX,VF,,12.0
BRA_1992_0c5a50ecdfc7a82232b7e2a535950f48,Brasil,Existent,False,100000.0,Cruzeiro,1992,XX,AU,,5.0
BRA_1959_309c1e7d5b27d6efcfaf66ee6ec8871c,Brasil,Existent,False,5.0,Cruzeiro,1959,XX,XF,,2.0
BRA_1993_cfc3dacef3455af3b8c5937a72efc3f2,Brasil,Existent,False,500000.0,Cruzeiro,1993,XX,XF,,3.0
BRA_1993_3d78f36d84ec6d4684f13e9eb9a865a4,Brasil,Existent,False,1000.0,Cruzeiro,1993,XX,XF,,3.0
BRA_1990_29e9e4da711c9329772248a476dce73e,Brasil,Existent,False,5000.0,Cruzeiro,1990,XX,VF,,1.0
BRA_1950_cb92ada23c440a16b8146d41fdff9c4b,Brasil,Existent,False,10.0,Cruzeiro,1950,XX,VF,,5.0
BRA_1950_5bb9f3199ca8173987fb64bb46b1d42d,Brasil,Existent,False,5.0,Cruzeiro,1950,XX,UNC,,15.0
BRA_1950_891af3f1d8b78ea94c96b842c7aebe06,Brasil,Existent,False,5.0,Cruzeiro,1950,XX,AU,,10.0
BRA_1950_bbab173038d7b82159e84c07514bcd4d,Brasil,Existent,False,5.0,Cruzeiro,1950,XX,XF,,5.0
BRA_1964_cf5bf892f713a439eaff445781acb9aa,Brasil,Existent,False,100.0,Cruzeiro,1964,XX,XF,,5.0
BRA_1964_1b2a45e702d526747ed63b3285711d1d,Brasil,Existent,False,100.0,Cruzeiro,1964,XX,UNC,,12.0
BRA_1964_12099cbb56f8ccecc58fc23b92c3cab2,Brasil,Existent,False,100.0,Cruzeiro,1964,XX,XF,,5.0
ARG_1960_d96955a068e6f596fd1ee6eb399256cd,Argentina,Existent,False,50.0,Peso,1960,XX,XF,,20.0
ARG_1970_c938d59b21af7b53287a658cb440f19e,Argentina,Existent,False,10.0,Peso,1970,XX,XF,,20.0
ARG_1969_b312159d1eea809505f4762f782931b6,Argentina,Existent,False,10000.0,Peso,1969,XX,VF,Escrito,10.0
ARG_1967_aa42377568fccc8d9f526945dd3c6f15,Argentina,Existent,False,1000.0,Peso,1967,XX,VF,Escrito,3.0
ARG_1955_a3acc02de1926c2eb950af73f3b00ab6,Argentina,Existent,False,50.0,Peso,1955,XX,VF,Manchado,15.0
ARG_1967_488e4a7f1f13eb5af2c12684842fde88,Argentina,Existent,False,100.0,Peso,1967,XX,AU,,8.0
AUS_1919_cfda75cef46e03b93939286b947b715f,Austria,Existent,False,20.0,Krone,1919,XX,XF,,8.0
AUS_1919_7a787191e3e5ec7a2931464ed87bcca9,Austria,Existent,False,10.0,Krone,1919,XX,XF,,8.0
ALE_1922_f00a04c4ed9f4cf58fbde1016d45a90f,Alemania,Existent,False,100.0,Marco,1922,XX,UNC,,80.0
NAM_2022_868d3ffdc4a4d31f9849dffd408b03ce,Namibia,Existent,False,200.0,Dolar,2022,XXI,UNC,,30.0
VIE_2021_e071afbb4f21ee26c339cd44668b3a39,Vietnam,Existent,False,20000.0,Dong,2021,XXI,UNC,Polimero,25.0
ISR_2008_24298d440d9238ad68da18226251ca25,Israel,Existent,False,20.0,Nuevo,2008,XXI,VF,Polimero; Aniversario,10.0
ISR_2006_dd319b2f6a801f8ab55485324e660549,Israel,Existent,False,200.0,Nuevo,2006,XXI,VF,,90.0
MOL_1992_c787275a1b0bc2b942ca3f434cc2eff1,Moldavia,Existent,False,10.0,Leu,1992,XX,UNC,,15.0
BOT_1976_659964b1b89d145423d6042bee8f14fb,Botswana,Existent,False,1.0,Pula,1976,XX,UNC,,20.0
ZIM_2008_1c85f4ad987de44a4cddcaa8f68a821b,Zimbabwe,Existent,False,10.0,Trillon,2008,XXI,UNC,,20.0
ANG_1987_c60c14716d211fe187f7f92cefa9cc54,Angola,Existent,False,1000.0,Kwanza,1987,XX,AU,,25.0
BRA_1993_0f136b2ab6c840ee4660332429a86cd4,Brasil,Existent,False,5000.0,Cruzeiro,1993,XX,AU,,20.0
BRA_1979_a4984c8cbe95996930914b80771d6781,Brasil,Existent,False,500.0,Cruzeiro,1979,XX,UNC,,60.0
BRA_1985_9de8e727c06a6ca5a83628214063501d,Brasil,Existent,False,10000.0,Cruzeiro,1985,XX,UNC,,30.0
CUB_1986_8224e44124c70efe9d25569b87461e1a,Cuba,Existent,False,100.0,Peso,1986,XX,AU,,20.0
URU_1939_7ef542c08490d7476a49f0595c31ef45,Uruguay,Existent,False,10.0,Peso,1939,XX,XF,,8.0
PER_1984_6635fbb5eeeff822d15657543af18874,Peru,Existent,False,50000.0,Sol,1984,XX,UNC,,25.0
PER_1965_0a3221fc97fa59f01c6d7b74b843bb49,Peru,Existent,False,500.0,Sol,1965,XX,VF,,20.0
PER_1961_2e0944ec950e254220e9126f42f5aa1c,Peru,Existent,False,500.0,Sol,1961,XX,VF,,20.0
EL _1967_a45122be2fbc582e5aebdbe212adff10,El Salvador,Existent,False,1.0,Colon,1967,XX,XF,,70.0
GUA_1963_9bdc067a5fa166bb3eb18be06c28b66a,Guatemala,Existent,False,1.0,Quetzal,1963,XX,XF,,50.0
CUB_1948_9e20033f6482be7c76b4e14d09a03bf2,Cuba,Existent,False,5.0,Peso,1948,XX,VG,Certificado,40.0
MEX_1913_37555b5b10d4dba85246835cf636f507,Mexico,Existent,False,10.0,Peso,1913,XX,F,,60.0
REP_1998_a476c01d18445af86fafb05cc9a1b530,Republica Checa,Existent,False,200.0,Koruna,1998,XX,UNC,,40.0
HON_1971_eb0ab0b6b3ed9c9623ca12087cdeda8b,Honduras British (Belice),Existent,False,2.0,Dolar,1971,XX,F,,80.0
IRA_1969_38a3d6e9d203af984eb53bfe7c087c59,Iran,Existent,False,200.0,Rials,1969,XX,UNC,,75.0
ISL_1961_e198143b1e1aa355646b74d9d6acfc84,Islandia,Existent,False,500.0,Krona,1961,XX,AU,,40.0
EL _1974_48cadd87bb3ddfa4b46d61e480d922a6,El Salvador,Existent,False,1.0,Colon,1974,XX,XF,,15.0
NIC_1992_05774242eea6fef1e6b9b170943e6c8a,Nicaragua,Existent,False,2.0,Cordoba,1992,XX,UNC,,8.0
ARG_2021_6bff955f0e1e44e3b1bee5b5b1657894,Argentina,Existent,False,200.0,Peso,2021,XXI,UNC,,2.0
VAN_2020_655d1240d7755a284b52aebecb1bb0c1,Vanuatu,Existent,False,200.0,Vatu,2020,XXI,UNC,Polimero,7.0
FIJ_2011_f807c7251b8f22befebcf9b9b52851f8,Fiji,Existent,False,2.0,Dolar,2011,XXI,UNC,,7.0
KUW_1994_1937b43528090e16e5ce9b449350fa71,Kuwait,Existent,False,4.0,Dinar,1994,XX,UNC,,6.0
BAN_2013_365dc13a186b797092924da69f2efd6b,Bangladesh,Existent,False,25.0,Taka,2013,XXI,UNC,,5.0
EMI_2007_16beb7693732841843a5a10a933ae69e,Emiratos Arabes,Existent,False,5.0,Dirham,2007,XXI,UNC,,10.0
ARG_1983_d82eb77c7538f53d8a4fda614db172e4,Argelia,Existent,False,200.0,Dirham,1983,XX,VF,,6.0
ESP_1936_f1d39ec96f0c6a1f2fbafa5d159ad4b6,España (Bilbao),Existent,False,5.0,Peseta,1936,XX,F,,15.0
RWA_2013_2602494ab41a9de78fc137eb69d1472f,Rwanda,Existent,False,500.0,Franco,2013,XXI,UNC,,3.0
MAL_1992_5c3c226448557a87a45d192691da051e,Malawi,Existent,False,1.0,Kwacha,1992,XX,UNC,,10.0
BRA_1964_94077e11fc7fa94aefc23932cdcaa5d3,Brasil,Existent,False,200.0,Cruzeiro,1964,XX,AU,,10.0
BRA_1961_435f55038bba27dfe33610ae459cc4b3,Brasil,Existent,False,100.0,Cruzeiro,1961,XX,XF,,6.0
ARG_1985_2fc9403ac79b814fb569dee20a69e434,Argentina,Existent,False,1.0,Austral,1985,XX,UNC,,2.0
ARG_1985_85b60eb0593f7cd3c199d6bad37a90e8,Argentina,Existent,False,1.0,Austral,1985,XX,UNC,,4.0
